Gene_ID,Expression_Gene1,Expression_Gene2,GO_Score,Mutation_Frequency
G1,32.07800649717358,32.539969815926774,6.97015740995268,0.4089529444142699
G2,18.651851039985424,74.64914051180241,7.024840839871093,0.17329432007084578
G3,4.077514155476392,64.96328990472146,3.5949115121975517,0.15643704267108605
G4,59.08929431882418,84.9223410494178,2.9359184426449336,0.25024289816459533
G5,67.75643618422824,65.76128923003434,8.093611554785136,0.5492266647061205
G6,1.6587828927856152,56.830860333547164,8.101133946791808,0.7145959227000623
G7,51.2093058299281,9.367476782809248,8.670723185801037,0.6601973767177313
G8,22.649577519793795,36.77158030594335,9.132405525564714,0.27993389694594284
G9,64.51727904094498,26.520236768172545,5.113423988609378,0.9548652806631941
G10,17.436642900499145,24.398964337908357,5.015162946871996,0.7378969166957685
G11,69.09377381024659,97.30105547524455,7.9829517896677515,0.5543540525114007
G12,38.67353463005374,39.30977246667604,6.4996393077776515,0.6117207462343522
G13,93.67299887367345,89.20465551771133,7.019668772577034,0.4196000624277899
G14,13.752094414599325,63.11386259972629,7.95792669436101,0.24773098950115746
G15,34.10663510502585,79.48113035416485,8.900053418175663,0.3559726786512616
G16,11.347352124058908,50.26370931051921,3.379951568515358,0.7578461104643691
G17,92.46936182785628,57.69038846263591,3.75582952639944,0.014393488629755868
G18,87.7339353380981,49.25176938188639,0.93981939840869,0.11607264050691624
G19,25.79416277151556,19.52429877980445,5.78280140996174,0.04600264202175275
G20,65.99840460341791,72.24521152615053,0.35942273796742086,0.040728802318970136
G21,81.72222002012158,28.07723624408558,4.655980181324601,0.8554605840110072
G22,55.52008115994623,2.431596643145384,5.426446347075766,0.7036578593800237
G23,52.965057835600646,64.54722959071678,2.865412521282844,0.4741738290873252
G24,24.18522909004517,17.711067940704893,5.9083326056901075,0.09783416065100148
G25,9.310276780589922,94.04585843529144,0.3050024993904943,0.49161587511683236
G26,89.72157579533267,95.39285770025873,0.37348188749214417,0.4734717707805657
G27,90.04180571633304,91.48643902204485,8.226005606596583,0.17320186991001518
G28,63.31014572732679,37.01587002554444,3.601906414112629,0.43385164923797304
G29,33.90297910487007,1.5456616528867428,1.2706051265188478,0.39850473439737344
G30,34.92095746126609,92.83185625877253,5.222432600548044,0.6158500980522165
G31,72.59556788702393,42.81841483173143,7.699935530986108,0.6350936508676438
G32,89.71102599525771,96.66548190436696,2.1582102749684315,0.04530400977204452
G33,88.70864242651173,96.36199770892529,6.228904758190002,0.3746126146264712
G34,77.98755458576238,85.300945546736,0.85347464993768,0.6258599157142364
G35,64.20316461542878,29.444889206958567,0.516817211686077,0.5031362585800877
G36,8.413996499504883,38.50977286019253,5.31354631568148,0.8564898411883223
G37,16.162871409461378,85.11366715168569,5.406351216101065,0.658693631618945
G38,89.85541885270793,31.692200515627768,6.374299014982066,0.1629344270814297
G39,60.642905965958995,16.94927466860925,7.260913337226615,0.07056874740042984
G40,0.9197051616629648,55.68012624583501,9.758520794625346,0.6424192782063156
G41,10.147154286603211,93.6154774160781,5.163003483011953,0.026511310541621813
G42,66.35017691080559,69.6029796674973,3.2295647294124596,0.5857755812734633
G43,0.5061583846218687,57.0061170089365,7.9518619476870365,0.9402302414249576
G44,16.080805141749867,9.717649377076853,2.708322512620742,0.575474177875879
G45,54.87337893665861,61.500722669916975,4.389714207056361,0.3881699262065219
G46,69.18951976926932,99.00538501042632,0.7845638134226596,0.6432882184423532
G47,65.19612595026005,14.008401523652402,0.2535074341545751,0.45825289049151663
G48,22.42693094605598,51.832965236373674,9.626484146779251,0.5456167893159349
G49,71.2179221347536,87.73730719279554,8.359801205122059,0.9414648087765252
G50,23.724908749680008,74.07686177542044,6.95974206093698,0.38610263780077425
